origem,destino,peso,lat_origem,long_origem,lat_destino,long_destino
Arad,Zerind,75,46.1667,21.3167,46.6167,21.5167
Arad,Timisoara,118,46.1667,21.3167,45.7597,21.23
Arad,Sibiu,140,46.1667,21.3167,45.7928,24.1521
Zerind,Oradea,71,46.6167,21.5167,47.0722,21.9211
Oradea,Sibiu,151,47.0722,21.9211,45.7928,24.1521
Timisoara,Lugoj,111,45.7597,21.23,45.6886,21.9031
Lugoj,Mehadia,70,45.6886,21.9031,44.9,22.3667
Mehadia,Dobreta,75,44.9,22.3667,44.6369,22.6597
Dobreta,Craiova,120,44.6369,22.6597,44.3167,23.8
Craiova,Pitesti,138,44.3167,23.8,44.8565,24.8692
Craiova,Rimnicu Vilcea,146,44.3167,23.8,45.0997,24.3693
Rimnicu Vilcea,Pitesti,97,45.0997,24.3693,44.8565,24.8692
Rimnicu Vilcea,Sibiu,80,45.0997,24.3693,45.7928,24.1521
Sibiu,Fagaras,99,45.7928,24.1521,45.8416,24.9731
Fagaras,Bucharest,211,45.8416,24.9731,44.4325,26.1039
Pitesti,Bucharest,101,44.8565,24.8692,44.4325,26.1039
Bucharest,Giurgiu,90,44.4325,26.1039,43.9037,25.9699
Bucharest,Urziceni,85,44.4325,26.1039,44.7167,26.6333
Urziceni,Hirsova,98,44.7167,26.6333,44.6894,27.9455
Hirsova,Eforie,86,44.6894,27.9455,44.0584,28.6336
Urziceni,Vaslui,142,44.7167,26.6333,46.6333,27.7333
Vaslui,Iasi,92,46.6333,27.7333,47.1585,27.6014
Iasi,Neamt,87,47.1585,27.6014,46.9759,26.3819
